"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","WT01"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-01",,"54","45","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-02",,"58","48","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-03",,"57","51","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-04",,"56","48","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-05",,"61","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-06",,"57","48","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-07",,"66","51","62",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-08",,"66","51","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-09",,"68","48","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-10",,"65","50","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-11",,"66","48","60",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-12",,"65","50","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-13",,"62","49","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-14",,"62","45","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-15",,"60","46","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-16",,"62","46","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-17",,"53","46","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-18",,"56","47","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-19",,"51","46","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-20",,"63","42","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-21",,"61","44","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-22",,"65","44","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-23",,"69","49","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-24",,"61","47","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-25",,"58","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-26",,"57","47","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-27",,"61","42","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-28",,"56","46","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-29",,"54","47","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-30",,"53","47","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-01-31",,"54","48","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-01",,"59","53","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-02",,"58","57","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-03",,"61","55","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-04",,"59","46","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-05",,"55","42","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-06",,"60","44","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-07",,"56","47","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-08",,"55","43","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-09",,"56","42","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-10",,"57","42","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-11",,"52","42","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-12",,"53","45","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-13",,"58","49","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-14",,"55","48","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-15",,"59","44","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-16",,"60","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-17",,"57","47","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-18",,"62","46","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-19",,"58","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-20",,"61","47","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-21",,"66","48","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-22",,"64","43","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-23",,"62","50","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-24",,"63","51","52","    1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-25",,"70","45","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-26",,"70","48","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-27",,"72","53","60",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2025-02-28",,"71","49","49",
